Process1,Cnt,Week,Amount,Process2,Cnt,Week,Amount,Process3,Cnt,Week,Amount,Process4,Cnt,Week,Amount,Process5,Cnt,Week,Amount,Demand
Sourcing,AUSTRIA,1,124.3,Conditioning,AUSTRIA,1,124.3,Treatment,SLOVENIA,4,124.3,Forwarding,ITALY,8,124.3,Delivery,TURKEY,13,124.3,1
,,,,,,,,Treatment,SLOVENIA,10,6723.07,Forwarding,ITALY,14,6723.07,Delivery,TURKEY,18,6723.07,2
,,,,,,,,,,,,,,,,Delivery,TURKEY,23,1854.53000000001,3
Sourcing,FRANCE,1,673.099999999982,Conditioning,FRANCE,1,673.099999999982,Treatment,FRANCE,7,673.099999999982,Forwarding,TURKEY,14,673.099999999982,Delivery,TURKEY,24,673.099999999982,4
