Process1,Cnt,Week,Amount,Process2,Cnt,Week,Amount,Process3,Cnt,Week,Amount,Process4,Cnt,Week,Amount,Process5,Cnt,Week,Amount
Source,AUSTRIA,1,533,Conditioning,AUSTRIA,2,533,Treatment,SLOVENIA,5,533,Forwarding,SLOVENIA,12,533,Delivery,FRANCE,15,533
Source,HUNGARY,1,533,Conditioning,HUNGARY,1,533,Treatment,SLOVENIA,6,533,Forwarding,SLOVENIA,12,533,Delivery,FRANCE,15,533
Source,AUSTRIA,1,1343,Conditioning,AUSTRIA,2,1343,Treatment,SLOVENIA,5,1343,Forwarding,FRANCE,9,1343,Delivery,FRANCE,20,1343
Source,AUSTRIA,1,1875,Conditioning,AUSTRIA,2,1875,Treatment,SLOVENIA,5,1875,Forwarding,FRANCE,9,1875,Delivery,SPAIN,23,1875
Source,AUSTRIA,1,113,Conditioning,AUSTRIA,2,113,Treatment,SLOVENIA,5,113,Forwarding,FRANCE,9,113,Delivery,PORTUGAL,23,113
