Process1,Cnt,Week,Amount,Process2,Cnt,Week,Amount,Process3,Cnt,Week,Amount,Process4,Cnt,Week,Amount,Process5,Cnt,Week,Amount
Source,HUNGARY,1,745.0,Conditioning,AUSTRIA,1,745.0,Treatment,SLOVENIA,5,745.0,Forwarding,SLOVENIA,10,745.0,Delivery,HUNGARY,15,745.0
Source,AUSTRIA,1,6161.9,Conditioning,AUSTRIA,2,6161.9,Treatment,SLOVENIA,9,6161.9,Forwarding,SLOVENIA,16,6161.9,Delivery,HUNGARY,16,6161.9
Source,FRANCE,1,1500.0,Conditioning,FRANCE,2,1500.0,Treatment,FRANCE,11,1500.0,Forwarding,FRANCE,17,1500.0,Delivery,MOLDOVA,18,1500.0
Source,FRANCE,1,3488.23999999999,Conditioning,FRANCE,10,3488.23999999999,Treatment,ITALY,15,3488.23999999999,Forwarding,ITALY,22,3488.23999999999,Delivery,ROMANIA,22,3488.23999999999
Source,FRANCE,1,3488.23999999999,Conditioning,FRANCE,10,3488.23999999999,Treatment,ITALY,15,3488.23999999999,Forwarding,ITALY,22,3488.23999999999,Delivery,ROMANIA,22,3488.23999999999
Source,FRANCE,1,3488.23999999999,Conditioning,FRANCE,10,3488.23999999999,Treatment,ITALY,17,3488.23999999999,Forwarding,ITALY,22,3488.23999999999,Delivery,ROMANIA,22,3488.23999999999
Source,FRANCE,1,3488.23999999999,Conditioning,FRANCE,10,3488.23999999999,Treatment,ITALY,17,3488.23999999999,Forwarding,ITALY,22,3488.23999999999,Delivery,ROMANIA,22,3488.23999999999
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,15,731.470000000001,Forwarding,ITALY,22,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,15,731.470000000001,Forwarding,ITALY,22,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,17,731.470000000001,Forwarding,ITALY,22,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,17,731.470000000001,Forwarding,ITALY,22,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,15,731.470000000001,Forwarding,ITALY,23,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,15,731.470000000001,Forwarding,ITALY,23,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,17,731.470000000001,Forwarding,ITALY,23,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,17,731.470000000001,Forwarding,ITALY,23,731.470000000001,Delivery,ROMANIA,23,731.470000000001
Source,SERBIA,1,12972.25,Conditioning,SERBIA,10,12972.25,Treatment,ROMANIA,17,12972.25,Forwarding,ROMANIA,23,12972.25,Delivery,ROMANIA,23,12972.25
Source,HUNGARY,1,1737.04,Conditioning,HUNGARY,2,1737.04,Treatment,HUNGARY,8,1737.04,Forwarding,HUNGARY,22,1737.04,Delivery,ROMANIA,23,1737.04
Source,HUNGARY,1,10860.0,Conditioning,AUSTRIA,10,10860.0,Treatment,SLOVENIA,19,10860.0,Forwarding,SLOVENIA,23,10860.0,Delivery,BULGARIA,23,10860.0
Source,FRANCE,1,5000.0,Conditioning,FRANCE,10,5000.0,Treatment,FRANCE,19,5000.0,Forwarding,FRANCE,28,5000.0,Delivery,HUNGARY,28,5000.0
Source,FRANCE,1,5000.0,Conditioning,FRANCE,10,5000.0,Treatment,FRANCE,19,5000.0,Forwarding,FRANCE,28,5000.0,Delivery,HUNGARY,28,5000.0
Source,ROMANIA,1,500.0,Conditioning,ROMANIA,2,500.0,Treatment,ROMANIA,18,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0
Source,ROMANIA,1,500.0,Conditioning,ROMANIA,2,500.0,Treatment,ROMANIA,18,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0
Source,ROMANIA,1,500.0,Conditioning,ROMANIA,15,500.0,Treatment,ROMANIA,18,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0
Source,ROMANIA,1,500.0,Conditioning,ROMANIA,15,500.0,Treatment,ROMANIA,18,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0
Source,ROMANIA,1,500.0,Conditioning,ROMANIA,2,500.0,Treatment,ROMANIA,23,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0
Source,ROMANIA,1,500.0,Conditioning,ROMANIA,2,500.0,Treatment,ROMANIA,23,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0
Source,ROMANIA,1,500.0,Conditioning,ROMANIA,15,500.0,Treatment,ROMANIA,23,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0
